,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
856,Ott Tänak,Neste Oil Rally Finland,/entryinfo/396-neste-oil-rally-finland-2009/35430/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>",396-neste-oil-rally-finland-2009,143.0,144.0,/final/396-neste-oil-rally-finland-2009/,396-neste-oil-rally-finland-2009,2009.0
643,Mikko Hirvonen,Neste Oil Rally Finland,/entryinfo/396-neste-oil-rally-finland-2009/35391/,2009,1,Null,396-neste-oil-rally-finland-2009,143.0,144.0,/final/396-neste-oil-rally-finland-2009/,396-neste-oil-rally-finland-2009,2009.0
62,Sébastien Loeb,Neste Oil Rally Finland,/entryinfo/396-neste-oil-rally-finland-2009/35392/,2009,2,Null,396-neste-oil-rally-finland-2009,143.0,144.0,/final/396-neste-oil-rally-finland-2009/,396-neste-oil-rally-finland-2009,2009.0
332,Sébastien Ogier,Repco Rally Australia,/entryinfo/397-repco-rally-australia-2009/36340/,2009,5,Null,397-repco-rally-australia-2009,144.0,145.0,/final/397-repco-rally-australia-2009/,397-repco-rally-australia-2009,2009.0
642,Mikko Hirvonen,Repco Rally Australia,/entryinfo/397-repco-rally-australia-2009/36334/,2009,1,Null,397-repco-rally-australia-2009,144.0,145.0,/final/397-repco-rally-australia-2009/,397-repco-rally-australia-2009,2009.0
61,Sébastien Loeb,Repco Rally Australia,/entryinfo/397-repco-rally-australia-2009/36332/,2009,2,Null,397-repco-rally-australia-2009,144.0,145.0,/final/397-repco-rally-australia-2009/,397-repco-rally-australia-2009,2009.0
331,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/398-rallyracc-catalunya-costa-daurada-2009/37239/,2009,5,Null,398-rallyracc-catalunya-costa-daurada-2009,145.0,146.0,/final/398-rallyracc-catalunya-costa-daurada-2009/,398-rallyracc-catalunya-costa-daurada-2009,2009.0
641,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/398-rallyracc-catalunya-costa-daurada-2009/37230/,2009,3,Null,398-rallyracc-catalunya-costa-daurada-2009,145.0,146.0,/final/398-rallyracc-catalunya-costa-daurada-2009/,398-rallyracc-catalunya-costa-daurada-2009,2009.0
995,Thierry Neuville,RallyRACC Catalunya - Costa Daurada,/entryinfo/398-rallyracc-catalunya-costa-daurada-2009/37297/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator                            </div>",398-rallyracc-catalunya-costa-daurada-2009,145.0,146.0,/final/398-rallyracc-catalunya-costa-daurada-2009/,398-rallyracc-catalunya-costa-daurada-2009,2009.0
60,Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,/entryinfo/398-rallyracc-catalunya-costa-daurada-2009/37228/,2009,1,Null,398-rallyracc-catalunya-costa-daurada-2009,145.0,146.0,/final/398-rallyracc-catalunya-costa-daurada-2009/,398-rallyracc-catalunya-costa-daurada-2009,2009.0
330,Sébastien Ogier,Rally of Great Britain,/entryinfo/399-rally-of-great-britain-2009/37683/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident damage                            </div>",399-rally-of-great-britain-2009,146.0,147.0,/final/399-rally-of-great-britain-2009/,399-rally-of-great-britain-2009,2009.0
640,Mikko Hirvonen,Rally of Great Britain,/entryinfo/399-rally-of-great-britain-2009/37669/,2009,2,Null,399-rally-of-great-britain-2009,146.0,147.0,/final/399-rally-of-great-britain-2009/,399-rally-of-great-britain-2009,2009.0
59,Sébastien Loeb,Rally of Great Britain,/entryinfo/399-rally-of-great-britain-2009/37667/,2009,1,Null,399-rally-of-great-britain-2009,146.0,147.0,/final/399-rally-of-great-britain-2009/,399-rally-of-great-britain-2009,2009.0
